Temperature (Â°C),Pressure (barg),Pressure (psig)
-70,-0.65,-9.46
-68,-0.61,-8.77
-66,-0.55,-8.02
-64,-0.5,-7.19
-62,-0.38,-6.38
-60,-0.36,-5.77
-58,-0.29,-4.17
-56,-0.21,-2.98
-54,-0.12,-1.67
-52,-0.02,-0.26
-50,0.08,1.16
-48,0.2,2.95
-46,0.32,4.64
-44,0.46,6.69
-42,0.61,8.78
-40,0.76,11.04
-38,0.93,13.45
-36,1.11,15.96
-34,1.3,18.82
-32,1.5,21.76
-30,1.72,24.96
-28,1.95,28.36
-26,2.2,31.94
-24,2.47,35.71
-22,2.75,39.83
-20,3.04,44.15
-18,3.36,48.72
-16,3.69,53.66
-14,4.05,58.68
-12,4.42,63.87
-10,4.81,69.79
-8,5.23,75.81
-6,5.67,82.15
-4,6.13,88.82
-2,6.61,95.84
0,7.12,103.21
2,7.66,110.95
4,8.21,119.07
6,8.8,127.58
8,9.41,136.49
10,10.06,145.81
12,10.73,155.57
14,11.43,165.76
16,12.17,176.41
18,12.93,187.53
20,13.73,199.13
22,14.57,211.21
24,15.44,223.81
26,16.34,236.93
28,17.28,250.59
30,18.26,264.8
32,19.28,279.57
34,20.29,294.93
36,21.35,310.89
38,22.45,327.47
40,23.6,344.67
42,24.78,362.51
44,26.01,381
46,27.29,400.24
48,28.62,420.15
50,29.98,440.79
52,31.4,462.17
54,32.89,484.33
56,34.42,507.27
58,36,531.02
60,37.64,555.63
62,39.33,581.1
64,41.09,607.49
66,42.91,634.81
68,44.79,663.11
70,45.73,692.45
